Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
23-January-2015,863.5,881.05,858.4,875.3,869.0298995,348099,17159,302508439,73386,21.08,22.65,11.8
27-January-2015,879.1,884.9,862.5,882.45,875.3824145,246476,17270,215760756,65256,26.48,22.4,3.35
28-January-2015,885,895,874.55,883.35,884.0377823,340133,16703,300690423,36256,10.66,20.45,-1.65
29-January-2015,882.5,887.9,872,874,877.5570953,240151,11045,210746214,75649,31.5,15.9,-8.5
30-January-2015,876.25,885.9,857.5,862.5,868.615374,274516,12649,238448818,42664,15.54,28.4,-13.75
2-February-2015,862.5,862.5,819.05,832.25,832.9134004,670072,42167,558111948,198490,29.62,43.45,-30.25
3-February-2015,836.25,840.85,801.3,806.5,821.1963573,576556,32062,473465687,153388,26.6,39.55,-29.75
4-February-2015,810.05,822,791.1,800.9,810.2436875,399052,23691,323329364,100514,25.19,30.9,-9.15
5-February-2015,799.5,826.4,794.05,808.2,813.0972747,419626,18737,341196757,52002,12.39,32.35,8.7
6-February-2015,809.9,821.55,798.15,809.8,810.1562466,306605,13704,248397956,27795,9.07,23.4,-0.1
9-February-2015,807.7,807.75,792.3,797.65,801.4276363,312249,14967,250244978,56672,18.15,15.45,-10.05
10-February-2015,792.1,828.75,783.85,817.7,814.9972207,616698,24020,502607156,57405,9.31,44.9,25.6
11-February-2015,819,834.9,819,826.65,828.5420558,334294,19390,276976638,78863,23.59,15.9,7.65
12-February-2015,825,841.1,815.75,838.55,827.5797031,326769,13654,270427392,67351,20.61,25.35,13.55
13-February-2015,839,844.9,831.55,835.15,837.8131265,252877,12194,211863670,51654,20.43,13.35,-3.85
16-February-2015,837,841.75,810.85,814.9,823.5066255,271528,11458,223605107,60826,22.4,30.9,-22.1
18-February-2015,813.1,824.5,806.65,819.5,815.6209733,295338,11816,240883867,50474,17.09,17.85,6.4
19-February-2015,820.1,827.25,802.75,813,813.2478208,221640,9440,180248247,41641,18.79,24.5,-7.1
20-February-2015,813,832,805.6,824.45,821.0446206,295312,12574,242464329,30359,10.28,26.4,11.45
23-February-2015,840,841.2,808.1,811.4,824.5983198,323770,20192,266980198,67823,20.95,33.1,-28.6
24-February-2015,811.9,812.95,796,800.05,803.1286332,329635,14063,264739307,55768,16.92,16.95,-11.85
25-February-2015,804,810.8,792.6,794.85,802.1691701,262375,11584,210469136,70641,26.92,18.2,-9.15
26-February-2015,796.5,801,780.5,783.5,789.8725958,366126,18051,289192894,113818,31.09,20.5,-13
27-February-2015,787,823.7,786.2,820.85,806.2253847,398004,19282,320880928,107777,27.08,37.5,33.85
28-February-2015,831.5,869.4,812.5,862.75,837.9808837,938311,38052,786286681,135260,14.42,56.9,31.25
2-March-2015,874,888.5,866,881.9,878.3258218,696436,31716,611697722,103876,14.92,22.5,7.9
3-March-2015,883,884.5,865.2,879,874.4632744,318524,13327,278537540,29910,9.39,19.3,-4
4-March-2015,900,910,852.75,858.4,879.4691314,637962,26812,561067886,128934,20.21,57.25,-41.6
5-March-2015,857,865.1,842.95,856.75,854.564926,297331,13103,254088644,52200,17.56,22.15,-0.25
9-March-2015,852.7,852.7,821,823.55,832.6181319,302395,20677,251779560,76393,25.26,31.7,-29.15
10-March-2015,825,846,817.05,827.3,832.4152462,377877,19082,314550576,77588,20.53,28.95,2.3
11-March-2015,826.5,833,816.25,823.05,824.3155452,314798,22300,259492885,74336,23.61,16.75,-3.45
12-March-2015,829,833.85,820,822.9,824.7956786,224744,10516,185367880,63733,28.36,13.85,-6.1
13-March-2015,827,832.55,797,803.2,811.6417136,389024,18407,315748106,91828,23.6,35.55,-23.8
16-March-2015,806.2,819.15,797.75,813.7,811.4229659,285685,13339,231811370,56115,19.64,21.4,7.5
17-March-2015,820.1,837.15,817.2,832.95,825.2955643,289426,12389,238861994,44306,15.31,19.95,12.85
18-March-2015,837,858.2,829.3,853.75,847.9786647,469175,20317,397850390,48621,10.36,28.9,16.75
19-March-2015,863,869.85,821.3,833.3,854.1742575,387329,17354,330846461,59164,15.27,48.55,-29.7
20-March-2015,827.9,841.25,816.9,832.25,830.0028213,398049,19513,330381793,39879,10.02,24.35,4.35
23-March-2015,833.35,839.1,823.6,827.5,829.5049134,200573,10060,166376289,33211,16.56,15.5,-5.85
24-March-2015,830,835.7,812.1,822.55,823.7662723,394335,20251,324839873,60644,15.38,23.6,-7.45
25-March-2015,830,830,805.5,807.5,815.290573,326221,13885,265964906,53778,16.49,24.5,-22.5
26-March-2015,801,813.65,793.1,805.8,803.004785,363217,18265,291664989,53099,14.62,20.55,4.8
27-March-2015,811,821,784,815.7,804.6213619,564782,26091,454435662,95239,16.86,37,4.7
30-March-2015,820.5,827,815.3,823.15,822.1618838,203226,11364,167084671,29857,14.69,11.7,2.65
31-March-2015,826.9,834,813,816.55,822.3106458,298240,14689,245245927,62198,20.86,21,-10.35
1-April-2015,814,852.8,809,847,831.9138413,337505,20483,280775081,55855,16.55,43.8,33
6-April-2015,847.5,857,841.5,845.8,849.0757788,260970,12166,221583306,59561,22.82,15.5,-1.7
7-April-2015,848,852,836.25,841.2,843.3312618,240728,11808,203013448,38489,15.99,15.75,-6.8
8-April-2015,838,843.1,818.95,820.5,834.0590917,481337,12843,401463501,307856,63.96,24.15,-17.5
9-April-2015,824.5,844.9,820.95,842.4,835.8017985,339730,15360,283946945,53072,15.62,23.95,17.9
10-April-2015,845,850,838.15,841.9,843.5080289,225810,9668,190472548,35619,15.77,11.85,-3.1
13-April-2015,842.2,847,836.3,840.9,841.3831828,166722,7865,140277087,18329,10.99,10.7,-1.3
15-April-2015,844.8,864,836.25,845.65,855.7500336,550802,13679,471348830,350850,63.7,27.75,0.85
16-April-2015,847,854.5,835.45,850.1,844.6963318,251271,11767,212247692,44429,17.68,19.05,3.1
17-April-2015,849,849,806,810.25,823.5249664,346786,19406,285586929,139605,40.26,43,-38.75
20-April-2015,812,816.2,776.7,787.7,798.2713433,417519,19714,333293453,88730,21.25,39.5,-24.3
21-April-2015,785,802.8,772.65,784.55,789.3253114,327019,17294,258124374,39522,12.09,30.15,-0.45
22-April-2015,790,801.4,776.6,795.75,790.3847547,1032892,47279,816382090,87277,8.45,24.8,5.75
23-April-2015,804.5,854.5,804.2,851.4,836.2481998,1208470,56420,1010580862,266095,22.02,50.3,46.9
24-April-2015,854,855,820.5,824.15,831.7061244,367761,18594,305869076,64409,17.51,34.5,-29.85
27-April-2015,831.1,831.1,805,811.2,813.151161,278478,16673,226444709,51155,18.37,26.1,-19.9
28-April-2015,813.1,831.9,806.4,825.7,819.9402362,473899,15067,388568858,219511,46.32,25.5,12.6
29-April-2015,824.8,843.9,820.5,834.3,834.9096984,259785,13810,216897016,29836,11.48,23.4,9.5
30-April-2015,835,848.45,827,839.8,841.1760984,243841,12252,205113221,46373,19.02,21.45,4.8
4-May-2015,850,858.9,847,853.55,854.0761648,158354,9445,135246377,34457,21.76,11.9,3.55
5-May-2015,853.7,864.9,849,857.35,859.2214625,220534,14466,189487546,35359,16.03,15.9,3.65
6-May-2015,854.9,854.9,817,821.2,831.1109691,311312,19970,258734818,60013,19.28,37.9,-33.7
7-May-2015,820,820.1,789,798.75,804.528921,290533,19982,233742201,48558,16.71,31.1,-21.25
8-May-2015,810.1,829.15,804.8,826.25,820.610535,331904,19442,272363919,57641,17.37,24.35,16.15
11-May-2015,835,848.35,828.15,845.05,842.4206834,252570,6531,212770192,86957,34.43,20.2,10.05
12-May-2015,844.35,844.35,818,823.1,825.4301775,387361,8222,319739459,164475,42.46,26.35,-21.25
13-May-2015,824.6,849.7,824.6,840.7,840.4110845,529964,12009,445387620,160202,30.23,25.1,16.1
14-May-2015,842.25,845,827,838.65,838.3344225,238713,6959,200121325,51433,21.55,18,-3.6
15-May-2015,843,863.95,842.95,850.15,854.5768532,341144,10011,291533766,78698,23.07,21,7.15
18-May-2015,852,868.4,852,864.55,861.130534,212933,5751,183363108,52092,24.46,16.4,12.55
19-May-2015,866,877.45,858.55,864.1,869.5558621,416803,8204,362433492,158744,38.09,18.9,-1.9
20-May-2015,869,879.4,866.65,874.8,873.0487726,233533,6127,203885699,68665,29.4,12.75,5.8
21-May-2015,871.8,871.8,853.55,862,861.0194775,227904,5697,196229783,22669,9.95,18.25,-9.8
22-May-2015,864,872.5,861,866.8,864.9380783,437843,4129,378707083,267707,61.14,11.5,2.8
25-May-2015,866.5,866.5,850,853.45,858.7412567,175564,7177,150764050,25624,14.6,16.5,-13.05
26-May-2015,854.1,866,845.95,861.7,855.5966498,182556,5353,156194302,35007,19.18,20.05,7.6
27-May-2015,855,873.8,849.35,870.45,867.8828507,217193,6151,188498080,48182,22.18,24.45,15.45
28-May-2015,870.45,876,857,859.3,864.5709238,190458,5848,164664449,41156,21.61,19,-11.15
29-May-2015,862,884.8,862,882.6,876.3766677,249602,6671,218745369,58038,23.25,22.8,20.6
1-June-2015,885,897,877.5,879.35,886.769437,194333,6026,172328565,37281,19.18,19.5,-5.65
2-June-2015,887.9,887.9,841.85,846.6,861.2231481,491091,14099,422938937,128060,26.08,46.05,-41.3
3-June-2015,844.5,846.6,825.75,829.25,830.4634665,494450,12783,410622661,201403,40.73,20.85,-15.25
4-June-2015,834.75,835,820.2,828.05,828.7322369,656289,12452,543887851,266148,40.55,14.8,-6.7
5-June-2015,828,841.2,819.5,822.3,829.4677873,377103,7478,312794791,109008,28.91,21.7,-5.7
8-June-2015,826,829.7,816.1,823.1,821.9997392,345134,9581,283700058,159883,46.32,13.6,-2.9
9-June-2015,825,834.9,818.9,822.65,824.8355271,189326,5934,156162811,29242,15.45,16,-2.35
10-June-2015,822.8,835.55,822.8,833.45,831.8509086,224842,5165,187035022,68245,30.35,12.75,10.65
11-June-2015,839,843.25,802.5,804.75,817.5116216,419218,9397,342715587,67335,16.06,40.75,-34.25
12-June-2015,797,810.9,794.5,805.85,802.2264178,390698,9374,313428257,53972,13.81,16.4,8.85
15-June-2015,808.55,814.7,798.25,804.55,806.5998524,285972,6806,230664973,32040,11.2,16.45,-4
16-June-2015,805,819,796.1,815.9,805.6621471,300326,8297,241961290,77567,25.83,22.9,10.9
17-June-2015,817.5,823.1,811.45,815.7,817.0584061,274817,6615,224541540,47837,17.41,11.65,-1.8
18-June-2015,810,827.7,807.55,822.5,819.3264133,353613,8692,289724471,46859,13.25,20.15,12.5
19-June-2015,827,835,822.15,830,827.6150718,227697,5028,188445469,43959,19.31,12.85,3
22-June-2015,831.4,863.4,831.4,858.8,854.8783859,371248,9935,317371891,73653,19.84,32,27.4
23-June-2015,863,869.8,856.05,866.7,864.7918181,240727,5908,208178740,52237,21.7,13.75,3.7
24-June-2015,859.95,873.4,852.25,859.1,864.3873502,215371,5519,186163968,29534,13.71,21.15,-0.85
25-June-2015,856.1,865,851.6,858.3,858.2613291,174286,4277,149582934,21464,12.32,13.4,2.2
26-June-2015,858.3,858.3,839.35,850.35,847.8812757,410750,5285,348267234,223134,54.32,18.95,-7.95
29-June-2015,829,840,824.6,837.5,832.9431619,301365,7591,251019916,66686,22.13,15.4,8.5
30-June-2015,837.15,845.55,834.4,843,841.3154379,261649,5897,220129343,100709,38.49,11.15,5.85
1-July-2015,845,870.55,842,867.2,859.3960184,234431,6123,201469068,44050,18.79,28.55,22.2
2-July-2015,869.9,877.9,867,869.4,872.8493032,165604,4911,144547336,33870,20.45,10.9,-0.5
3-July-2015,870,874.9,863,871.85,870.0176203,149316,3703,129907551,19662,13.17,11.9,1.85
6-July-2015,859,872,855.15,869.7,863.3586786,210966,5247,182139327,56217,26.65,16.85,10.7
7-July-2015,870.5,877.75,856.5,861.65,867.345562,155781,4825,135115959,37445,24.04,21.25,-8.85
8-July-2015,851,851,792.45,797.35,810.9704111,1062527,28900,861677958,337101,31.73,58.55,-53.65
9-July-2015,809.9,820,796.7,800.5,805.5974875,508650,13473,409767162,99075,19.48,23.3,-9.4
10-July-2015,807,814.7,805,809.2,809.5208192,258679,6555,209406036,50486,19.52,9.7,2.2
13-July-2015,815.6,820.5,788.35,815.4,804.880402,565837,14912,455431112,75561,13.35,32.15,-0.2
14-July-2015,819.8,821.9,806.05,812.05,814.8953807,287968,7004,234663793,45872,15.93,15.85,-7.75
15-July-2015,813.95,815.05,801.25,804.5,806.4201809,314555,11577,253663500,102680,32.64,13.8,-9.45
16-July-2015,807,835.55,805.4,829.5,824.5043009,728797,17523,600896261,167795,23.02,30.15,22.5
17-July-2015,824,835.45,812.3,824.5,824.8092446,606216,13992,500012561,75668,12.48,23.15,0.5
20-July-2015,822.05,827.25,814.5,819,819.4647093,295092,7668,241817480,48202,16.33,12.75,-3.05
21-July-2015,817,822.2,805.2,807.75,812.5199282,258051,5584,209671580,41447,16.06,17,-9.25
22-July-2015,810,825,801.85,823.35,817.9226077,281798,6904,230488955,51813,18.39,23.15,13.35
23-July-2015,821,831.6,815,824,823.5125539,347025,7844,285779444,43296,12.48,16.6,3
24-July-2015,815,827.25,806,808.65,818.120457,262492,6104,214750075,104112,39.66,21.25,-6.35
27-July-2015,806,808.65,782.25,784.6,790.2494531,452991,13397,357975890,128222,28.31,26.4,-21.4
28-July-2015,785,799.9,784.5,794.65,791.6904639,283941,8040,224793382,44725,15.75,15.4,9.65
29-July-2015,803.9,820,796.5,815.7,810.8496375,788767,18386,639571436,106240,13.47,23.5,11.8
30-July-2015,822.5,825.7,810.55,812.45,818.4732604,269881,6995,220890382,68072,25.22,15.15,-10.05
31-July-2015,819.7,840,814.55,828.7,831.4502974,393058,10666,326808191,82977,21.11,25.45,9
3-August-2015,829.5,840.35,825,831.7,834.471543,229118,6838,191192451,57185,24.96,15.35,2.2
4-August-2015,835,842,825.65,839.7,836.0887103,355325,11122,297083221,60541,17.04,16.35,4.7
5-August-2015,841.6,845.95,829.5,830.5,836.5014065,163532,4520,136794748,43772,26.77,16.45,-11.1
6-August-2015,835,836,825,827.6,829.9817387,162968,4537,135260464,25622,15.72,11,-7.4
7-August-2015,830,830,818.5,822,824.1341139,118034,3019,97275846,20616,17.47,11.5,-8
10-August-2015,824,834,812.6,816.95,824.4348781,169367,4163,139632062,40421,23.87,21.4,-7.05
11-August-2015,821,823.2,797,798.4,806.6739837,226047,7964,182346234,79746,35.28,26.2,-22.6
12-August-2015,797,797,766.75,770.35,781.2401899,324310,9100,253364006,108585,33.48,30.25,-26.65
13-August-2015,774,784.2,758.8,763.95,771.6334375,386207,8866,298010235,60697,15.72,25.4,-10.05
14-August-2015,768,798.7,765.55,796.7,785.0371046,379198,9274,297684500,82004,21.63,33.15,28.7
17-August-2015,800,803.15,783.5,790.6,793.791241,187235,5610,148625503,27344,14.6,19.65,-9.4
18-August-2015,795,800,782.05,786,789.1757224,191370,5965,151024558,41617,21.75,17.95,-9
19-August-2015,799,799,772,774.45,779.3196606,201983,6254,157409323,54263,26.87,27,-24.55
20-August-2015,775,776.3,704.3,719.4,733.7127958,946957,25331,694794468,244313,25.8,72,-55.6
21-August-2015,710,710,680.1,691.5,690.7668495,888349,20583,613642040,238145,26.81,29.9,-18.5
24-August-2015,661,661,590,629.1,638.203484,1039374,24891,663332108,210388,20.24,71,-31.9
25-August-2015,644.1,683.5,637.75,679.95,660.5270993,877734,21074,579767093,104907,11.95,45.75,35.85
26-August-2015,680,694.05,663.1,681.7,680.9834208,570896,13691,388770711,75385,13.2,30.95,1.7
27-August-2015,702.2,705,669.55,687.4,684.1411315,570071,13972,390009019,126127,22.12,35.45,-14.8
28-August-2015,695.2,701.45,660.55,676.15,684.1841664,659105,18755,450949205,116079,17.61,40.9,-19.05
31-August-2015,671.2,693.95,671.2,689.5,685.8696831,321240,8546,220328777,52660,16.39,22.75,18.3
1-September-2015,678.05,679.9,653.55,666.4,664.741147,658532,13920,437753317,211283,32.08,26.35,-11.65
2-September-2015,673.1,677,652.15,659.75,662.8986049,550500,10516,364925682,99331,18.04,24.85,-13.35
3-September-2015,667,676.55,661.45,671.25,665.9295035,1032930,9652,687858562,664767,64.36,15.1,4.25
4-September-2015,662.2,666,635,646.35,645.9538597,613672,11915,396403797,166044,27.06,31,-15.85
7-September-2015,649,656.55,641.35,650.3,650.043394,372770,8678,242316676,55065,14.77,15.2,1.3
8-September-2015,655.5,700,653.5,696,682.4109749,924054,23562,630584591,116564,12.61,46.5,40.5
9-September-2015,717,723,710,715.5,716.6689077,459310,12870,329173196,67253,14.64,13,-1.5
10-September-2015,691.55,720,688,713.15,703.2226947,415991,8896,292534312,31780,7.64,32,21.6
11-September-2015,717,725.95,704.5,711.45,714.3483193,323904,8580,231380278,39156,12.09,21.45,-5.55
14-September-2015,714.6,734.1,706,731.4,724.3856747,385304,8113,279108698,62506,16.22,28.1,16.8
15-September-2015,734,741,726,729.35,731.7840985,405736,8233,296911153,44554,10.98,15,-4.65
16-September-2015,737.7,760.35,735,758.35,750.949759,511733,11837,384285773,110048,21.5,25.35,20.65
18-September-2015,766,777.5,765,770.2,771.3286434,408321,10299,314949683,50735,12.43,12.5,4.2
21-September-2015,762.1,772.5,755.5,768.75,765.1522857,361078,7334,276279657,99056,27.43,17,6.65
22-September-2015,773,775,723,733.1,745.1022105,567926,15000,423162918,95498,16.82,52,-39.9
23-September-2015,723,743.75,714.65,738.5,728.2502078,511227,13154,372301169,93303,18.25,29.1,15.5
24-September-2015,738.15,743.85,718,720.9,731.3369925,408107,11739,298463746,92888,22.76,25.85,-17.25
28-September-2015,725,741,720,729.75,733.3330157,393477,11297,288549675,98292,24.98,21,4.75
29-September-2015,722.1,749,702.8,738.25,730.3689306,1044359,24436,762767366,162773,15.59,46.2,16.15
30-September-2015,745.35,754.1,723.8,729.6,734.5875803,487598,10710,358183435,85630,17.56,30.3,-15.75
1-October-2015,734.8,739.75,715.1,728.3,726.6683424,502280,14100,364990975,83085,16.54,24.65,-6.5
5-October-2015,733,752.8,733,750.6,744.8707815,296196,6776,220627746,70049,23.65,19.8,17.6
6-October-2015,750.6,756.7,736.75,744.05,744.7444995,373784,7781,278373578,83906,22.45,19.95,-6.55
7-October-2015,744,745.9,734,737,738.5756473,267141,5965,197303837,26580,9.95,11.9,-7
8-October-2015,733,736,722,728.6,728.8646582,295112,7338,215096707,33471,11.34,14,-4.4
9-October-2015,733,742,720.5,725.2,729.7780051,307872,7469,224678214,53351,17.33,21.5,-7.8
12-October-2015,730,736.5,720.75,724.2,728.4202234,251966,7887,183537130,53591,21.27,15.75,-5.8
13-October-2015,725,736,724.5,733.8,731.5753282,320723,8159,234633034,77664,24.22,11.5,8.8
14-October-2015,735,742.5,730.1,738.5,738.0869947,181080,5529,133652793,37274,20.58,12.4,3.5
15-October-2015,743,760.4,741.9,759,755.3658226,278400,7945,210293845,67631,24.29,18.5,16
16-October-2015,760,774.05,751.7,773.1,763.5348083,306895,8864,234325015,69925,22.78,22.35,13.1
19-October-2015,774.95,776.25,766.6,770.05,770.2854083,135851,4359,104644043,24378,17.94,9.65,-4.9
20-October-2015,773.7,778,761.5,770.15,771.1008415,184904,6731,142579630,28816,15.58,16.5,-3.55
21-October-2015,771,775.05,757,765.2,765.5023586,185065,5407,141667694,31471,17.01,18.05,-5.8
23-October-2015,774,779.7,764,770.3,770.9572929,144730,4635,111580649,28393,19.62,15.7,-3.7
26-October-2015,774.95,775,743.8,746.25,756.6717023,235984,5823,178562415,50766,21.51,31.2,-28.7
27-October-2015,745,755.9,742.2,751.15,748.7766415,201434,6026,150829074,40732,20.22,13.7,6.15
28-October-2015,743.1,748,719.05,729.3,731.9552835,262185,7659,191907696,59207,22.58,28.95,-13.8
29-October-2015,731,747.4,708.65,743.5,733.8276134,1257377,32715,922697963,193014,15.35,38.75,12.5
30-October-2015,750,765,747,759.1,758.6292772,382906,8890,290483702,83438,21.79,18,9.1
2-November-2015,758.65,772.5,752.5,770.45,764.5875781,282936,6501,216329351,42857,15.15,20,11.8
3-November-2015,772.2,781,766.5,779.1,774.2151035,235575,6644,182385723,51572,21.89,14.5,6.9
4-November-2015,783.2,789.8,781.15,783.2,785.7387224,150874,4571,118547544,34226,22.69,8.65,0
5-November-2015,781.5,781.5,759,761.35,768.2543541,251028,5704,192853354,51993,20.71,22.5,-20.15
6-November-2015,763.4,773.6,750.4,758.45,758.6793576,282302,5799,214176700,37667,13.34,23.2,-4.95
9-November-2015,745,768.05,735.6,762.35,751.7245371,279642,7428,210213753,44715,15.99,32.45,17.35
10-November-2015,760,766.8,737.05,739.6,748.5382103,311696,7334,233316366,53065,17.02,29.75,-20.4
11-November-2015,750,759.3,750,756.7,756.2951964,74215,1741,56128448,17767,23.94,9.3,6.7
13-November-2015,755.2,757.5,733.45,737.45,743.4479968,341306,7887,253743262,79161,23.19,24.05,-17.75
16-November-2015,740,752.95,736.3,750.85,746.5523576,277820,7786,207407176,56340,20.28,16.65,10.85
17-November-2015,756.1,757,736.85,745.2,746.0458222,177163,6711,132171716,33217,18.75,20.15,-10.9
18-November-2015,745,750,720.15,723.05,737.007929,258543,9216,190548241,57068,22.07,29.85,-21.95
19-November-2015,729,734.7,724.05,733.15,730.0298179,207895,5978,151769549,47154,22.68,10.65,4.15
20-November-2015,735,741.45,725.2,731.7,734.0008231,277002,7218,203319696,59743,21.57,16.25,-3.3
23-November-2015,733.2,744,732.8,739.95,739.4513105,208967,5647,154520922,28507,13.64,11.2,6.75
24-November-2015,739.1,748,738,744.25,744.377655,282533,5352,210311252,144580,51.17,10,5.15
26-November-2015,745.25,753.6,745.25,749.55,749.6059996,108807,4314,81562380,27558,25.33,8.35,4.3
27-November-2015,748,768.5,748,761.9,760.5073341,233294,6728,177421798,44524,19.08,20.5,13.9
30-November-2015,762.5,770.7,762.5,766.5,767.1647885,114565,3370,87890234,20483,17.88,8.2,4
1-December-2015,765,772.6,757.55,760.05,763.3969672,145410,4953,111005553,28303,19.46,15.05,-4.95
2-December-2015,763.2,765,747.1,749.55,753.5631528,141031,4721,106275765,32878,23.31,17.9,-13.65
3-December-2015,747,758.65,745.2,750.7,753.247432,199283,5170,150109408,31325,15.72,13.45,3.7
4-December-2015,745.05,751,738,739.4,743.8288778,195001,4891,145047375,31708,16.26,13,-5.65
7-December-2015,742.6,746,732.5,735.05,738.7079419,123811,4184,91460169,26050,21.04,13.5,-7.55
8-December-2015,733.9,735.55,724,725.65,729.3935576,163511,5961,119263870,37503,22.94,11.55,-8.25
9-December-2015,727,735,713.1,716.2,722.667704,302375,7072,218516647,,,21.9,-10.8
10-December-2015,720,722.35,702.2,706.95,708.3304364,399617,8141,283060884,89285,22.34,20.15,-13.05
11-December-2015,711,713.65,672.5,680.75,688.3918598,722534,15425,497386524,183143,25.35,41.15,-30.25
14-December-2015,680,688.6,668.55,682.2,680.4851403,443851,9377,302034010,95921,21.61,20.05,2.2
15-December-2015,686,694.5,676,690.55,686.1829617,386458,7739,265180895,31133,8.06,18.5,4.55
16-December-2015,696.3,710.75,694.05,698.3,702.0713823,367752,7726,258188155,79146,21.52,16.7,2
17-December-2015,705,724,705,720.55,716.2689504,326919,7593,234161929,47180,14.43,19,15.55
18-December-2015,720,727.5,713.75,719.05,721.0731952,199972,4683,144194449,39472,19.74,13.75,-0.95
21-December-2015,719.95,726.5,716,720,720.9167654,163730,4664,118035702,15631,9.55,10.5,0.05
22-December-2015,721.5,728.3,712,713.6,721.1582585,203888,4399,147035515,23137,11.35,16.3,-7.9
23-December-2015,720,727,718.5,725,722.5428865,175370,3863,126712346,28898,16.48,8.5,5
24-December-2015,726.5,729.3,720.1,725.35,724.4029236,99329,2934,71954218,15435,15.54,9.2,-1.15
28-December-2015,726.15,735.3,725,731.6,730.9985789,115401,3202,84357967,30178,26.15,10.3,5.45
29-December-2015,733,736,728,732,732.2638094,157049,3788,115001299,25434,16.19,8,-1
30-December-2015,732,736.55,731,733.6,733.5847674,89138,2181,65390279,19685,22.08,5.55,1.6
31-December-2015,732.25,736.5,724,726.15,730.401346,126594,3471,92464428,23600,18.64,12.5,-6.1
1-January-2016,725,735.45,723.05,732.3,730.4908682,124565,2913,90993595,17105,13.73,12.4,7.3
4-January-2016,732.55,732.55,701,705.3,711.5024456,416049,9857,296019881,115292,27.71,31.55,-27.25
5-January-2016,708.95,713,698.55,708.1,706.8214555,254536,5846,179911506,25688,10.09,14.45,-0.85
6-January-2016,714.95,716.55,701.35,703.2,708.8033359,200667,3950,142233439,20797,10.36,15.2,-11.75
7-January-2016,694,694,675.55,678.15,683.0798574,478766,9146,327035411,197350,41.22,18.45,-15.85
8-January-2016,688,699.2,683,693.75,694.2674054,231925,6141,161017968,65900,28.41,16.2,5.75
11-January-2016,690,705,676.35,694.6,691.611098,284231,5892,196577314,29633,10.43,28.65,4.6
12-January-2016,698.95,699.5,669.25,673.15,677.4127125,308137,8419,208735921,77921,25.29,30.25,-25.8
13-January-2016,681,689.75,660.95,682.7,676.186154,408581,8704,276276815,48643,11.91,28.8,1.7
14-January-2016,677.7,677.75,662.1,672.6,670.3075233,315007,8237,211151562,62644,19.89,15.65,-5.1
15-January-2016,682,683.25,659.6,662.75,673.7625293,256339,6313,172711613,47816,18.65,23.65,-19.25
18-January-2016,662.95,670.25,652,655.9,660.7569534,266163,6465,175869053,65550,24.63,18.25,-7.05
19-January-2016,658.5,686.4,657.5,681,676.9583751,315364,8556,213488301,108224,34.32,28.9,22.5
20-January-2016,677,677,632.25,644.65,646.8725504,455019,10968,294339301,114879,25.25,44.75,-32.35
21-January-2016,657,672.5,647.2,653.95,657.1624336,339585,8685,223162505,50384,14.84,25.3,-3.05
22-January-2016,663.2,689,662,683.55,678.0683044,348162,8518,236077617,59930,17.21,27,20.35
25-January-2016,700,700,674,677,682.6511875,175742,4665,119970485,29747,16.93,26,-23
27-January-2016,679,684,665.25,677.25,674.9017439,188141,6549,126976689,19780,10.51,18.75,-1.75
28-January-2016,680,686,669,673.55,677.5906283,185494,5804,125688996,16376,8.83,17,-6.45
29-January-2016,666.25,749.5,651.25,746.9,713.2115402,1977738,48043,1410545565,167933,8.49,98.25,80.65
1-February-2016,752,776.3,744.6,772.35,763.9666144,1152892,31775,880770998,236855,20.54,31.7,20.35
2-February-2016,771.25,785,761.6,765.3,771.4616497,702106,19232,541647853,93969,13.38,23.4,-5.95
3-February-2016,752.2,788.25,750.25,778.4,771.1883696,537454,14701,414478274,66253,12.33,38,26.2
4-February-2016,784,788,754.2,759.9,766.4886919,628844,15422,482001815,122683,19.51,33.8,-24.1
5-February-2016,759.8,779.7,759.3,777.35,773.1779791,419920,10287,324672897,59382,14.14,20.4,17.55
8-February-2016,777,789.25,764.2,767.75,778.1008929,351313,8774,273356959,50392,14.34,25.05,-9.25
9-February-2016,755.25,768.5,742,747.55,753.5368363,377657,9766,284578461,73367,19.43,26.5,-7.7
10-February-2016,742.05,746.5,728.05,734.25,734.4097751,932060,10197,684513975,603688,64.77,18.45,-7.8
11-February-2016,731.35,739.75,710,713.6,725.9520795,369299,9098,268093377,35950,9.73,29.75,-17.75
12-February-2016,716.5,731.95,692.05,726.7,712.2578633,439830,10625,313272376,48843,11.1,39.9,10.2
15-February-2016,735,760.9,735,751.65,752.8838057,256381,7058,193025103,35218,13.74,25.9,16.65
16-February-2016,755.25,759.6,726.45,733.05,741.2819706,233840,7202,173341376,34685,14.83,33.15,-22.2
17-February-2016,734,735,701,720.85,712.082169,477796,13429,340230012,40601,8.5,34,-13.15
18-February-2016,729.9,735.9,707.05,715,718.5402797,377399,9896,271176383,36987,9.8,28.85,-14.9
19-February-2016,712.15,723.9,708.6,714,715.6406688,263150,7290,188320842,24254,9.22,15.3,1.85
22-February-2016,721,721,709.25,712.65,714.4754133,176823,4270,126335686,35525,20.09,11.75,-8.35
